iter	Passed	Remaining
0	0	28
1	0	29
2	0	29
3	1	26
4	1	26
5	1	26
6	1	24
7	2	24
8	2	24
9	2	24
10	3	24
11	3	24
12	3	24
13	3	24
14	4	24
15	4	24
16	4	24
17	5	24
18	5	23
19	5	23
20	6	22
21	6	22
22	6	22
23	6	21
24	7	21
25	7	21
26	7	20
27	7	20
28	8	20
29	8	19
30	8	19
31	8	19
32	9	18
33	9	18
34	9	18
35	10	17
36	10	17
37	10	17
38	10	16
39	11	16
40	11	16
41	11	16
42	12	15
43	12	15
44	12	15
45	12	14
46	13	14
47	13	14
48	13	14
49	14	14
50	14	13
51	14	13
52	14	13
53	15	12
54	15	12
55	15	12
56	16	12
57	16	11
58	16	11
59	16	11
60	17	10
61	17	10
62	17	10
63	18	10
64	18	9
65	18	9
66	18	9
67	19	9
68	19	8
69	19	8
70	20	8
71	20	7
72	20	7
73	21	7
74	21	7
75	21	6
76	21	6
77	22	6
78	22	5
79	22	5
80	22	5
81	23	5
82	23	4
83	23	4
84	24	4
85	24	3
86	24	3
87	24	3
88	25	3
89	25	2
90	25	2
91	26	2
92	26	1
93	26	1
94	27	1
95	28	1
96	28	0
97	28	0
98	28	0
99	29	0
